ibutton,date.time,ibutton.temp,site,fish_depth,dissolved.oxygen.x,date.x,logger.site,logger.position,depth,site.total.depth,logger.type,latitude,longitude,dissolved.oxygen.y,temperature,logger.id,date.y,time,day.night,quarterly,dT,dz,mid_depth,abs_dT,dTdz,resolvable,depth_diff
6,2021-07-29T00:35:00Z,12.438,norwood,1.55,3.553,2021-07-29,norwood.mouth,bottom.do,1.45,1.65,minidot.do,44.384152,-123.236857,3.553,12.974,215432,2021-07-29,0:36,night,1,-0.0779999999999994,0.050000000000000044,1.475,0.0779999999999994,-1.5599999999999867,FALSE,0.07499999999999996
11,2021-07-29T00:35:00Z,15.099,blue.ruin,0.734133173365327,3.14114958826417,2021-07-29,site.4.netpen,mid.temp,0.5,1.7,hobo.onset.temp,44.2301936,-123.1624209,NA,17.701,20659256,2021-07-29,NA,NA,NA,-5.001000000000001,0.44999999999999996,0.725,5.001000000000001,-11.113333333333337,TRUE,0.00913317336532704
14,2021-07-29T00:35:00Z,13.939,norwood,1.08691471571906,3.15058047658863,2021-07-29,norwood.mouth,mid.low.temp,1,1.65,hobo.onset.temp,44.384152,-123.236857,NA,14.17,20659263,2021-07-29,0:35,night,1,-1.1959999999999997,0.44999999999999996,1.225,1.1959999999999997,-2.6577777777777776,TRUE,0.13808528428094013
18,2021-07-29T00:35:00Z,13.243,norwood,1.34878762541806,3.44082295150502,2021-07-29,norwood.mouth,mid.low.temp,1,1.65,hobo.onset.temp,44.384152,-123.236857,NA,14.17,20659263,2021-07-29,0:35,night,1,-1.1959999999999997,0.44999999999999996,1.225,1.1959999999999997,-2.6577777777777776,TRUE,0.12378762541805988
21,2021-07-29T00:35:00Z,16.466,blue.ruin,0.611127774445111,3.52358455581611,2021-07-29,site.4.netpen,mid.temp,0.5,1.7,hobo.onset.temp,44.2301936,-123.1624209,NA,17.701,20659256,2021-07-29,NA,NA,NA,-5.001000000000001,0.44999999999999996,0.725,5.001000000000001,-11.113333333333337,TRUE,0.11387222555488896
22,2021-07-29T00:35:00Z,14.236,blue.ruin,0.811787642471506,2.89971478431586,2021-07-29,site.4.netpen,mid.temp,0.5,1.7,hobo.onset.temp,44.2301936,-123.1624209,NA,17.701,20659256,2021-07-29,NA,NA,NA,-5.001000000000001,0.44999999999999996,0.725,5.001000000000001,-11.113333333333337,TRUE,0.08678764247150605
31,2021-07-29T00:35:00Z,15.237,blue.ruin,0.721715656868626,3.17975677591754,2021-07-29,site.4.netpen,mid.temp,0.5,1.7,hobo.onset.temp,44.2301936,-123.1624209,NA,17.701,20659256,2021-07-29,NA,NA,NA,-5.001000000000001,0.44999999999999996,0.725,5.001000000000001,-11.113333333333337,TRUE,0.0032843431313739346
5,2021-07-29T00:40:00Z,15.25,blue.ruin,0.720324793221707,3.17155335888642,2021-07-29,site.4.netpen,mid.temp,0.5,1.7,hobo.onset.temp,44.2301936,-123.1624209,NA,17.677,20659256,2021-07-29,NA,NA,NA,-4.956999999999999,0.44999999999999996,0.725,4.956999999999999,-11.015555555555554,TRUE,0.0046752067782930284
7,2021-07-29T00:40:00Z,13.955,blue.ruin,0.837885818035102,2.81245786491096,2021-07-29,site.4.netpen,mid.temp,0.5,1.7,hobo.onset.temp,44.2301936,-123.1624209,NA,17.677,20659256,2021-07-29,NA,NA,NA,-4.956999999999999,0.44999999999999996,0.725,4.956999999999999,-11.015555555555554,TRUE,0.112885818035102
8,2021-07-29T00:40:00Z,15.156,blue.ruin,0.728858180351019,3.14548774001871,2021-07-29,site.4.netpen,mid.temp,0.5,1.7,hobo.onset.temp,44.2301936,-123.1624209,NA,17.677,20659256,2021-07-29,NA,NA,NA,-4.956999999999999,0.44999999999999996,0.725,4.956999999999999,-11.015555555555554,TRUE,0.003858180351019036
10,2021-07-29T00:40:00Z,12.602,blue.ruin,0.991355140186916,2.51528387850467,2021-07-29,site.4.netpen,mid.do,0.95,1.7,hobo.onset.do,44.2301936,-123.1624209,2.47,12.72,21063701,2021-07-29,NA,NA,NA,-0.4280000000000008,0.15000000000000013,1.025,0.4280000000000008,-2.853333333333336,TRUE,0.03364485981308396
13,2021-07-29T00:40:00Z,16.17,norwood,0.713323086879146,4.24634072156609,2021-07-29,norwood.mouth,mid.temp,0.35,1.65,hobo.onset.temp,44.384152,-123.236857,NA,20.96,20659259,2021-07-29,0:40,night,1,-6.198,0.5,0.6,6.198,-12.396,TRUE,0.11332308687914605
16,2021-07-29T00:40:00Z,13.839,norwood,1.1380971659919,3.1564105263157902,2021-07-29,norwood.mouth,mid.low.temp,1,1.65,hobo.onset.temp,44.384152,-123.236857,NA,14.218,20659263,2021-07-29,0:40,night,1,-1.2349999999999994,0.44999999999999996,1.225,1.2349999999999994,-2.7444444444444436,TRUE,0.08690283400810017
17,2021-07-29T00:40:00Z,16.948,blue.ruin,0.566179140609239,3.64239826141178,2021-07-29,site.4.netpen,mid.temp,0.5,1.7,hobo.onset.temp,44.2301936,-123.1624209,NA,17.677,20659256,2021-07-29,NA,NA,NA,-4.956999999999999,0.44999999999999996,0.725,4.956999999999999,-11.015555555555554,TRUE,0.15882085939076096
23,2021-07-29T00:40:00Z,14.188,blue.ruin,0.816733911640105,2.87706732444477,2021-07-29,site.4.netpen,mid.temp,0.5,1.7,hobo.onset.temp,44.2301936,-123.1624209,NA,17.677,20659256,2021-07-29,NA,NA,NA,-4.956999999999999,0.44999999999999996,0.725,4.956999999999999,-11.015555555555554,TRUE,0.09173391164010503
30,2021-07-29T00:40:00Z,15.358,blue.ruin,0.710520476094412,3.20150109120252,2021-07-29,site.4.netpen,mid.temp,0.5,1.7,hobo.onset.temp,44.2301936,-123.1624209,NA,17.677,20659256,2021-07-29,NA,NA,NA,-4.956999999999999,0.44999999999999996,0.725,4.956999999999999,-11.015555555555554,TRUE,0.014479523905587932
2,2021-07-29T00:45:00Z,12.188,norwood,1.55,3.348,2021-07-29,norwood.mouth,bottom.do,1.45,1.65,minidot.do,44.384152,-123.236857,3.348,13.035,215432,2021-07-29,0:46,night,1,-0.1639999999999997,0.050000000000000044,1.475,0.1639999999999997,-3.279999999999991,FALSE,0.07499999999999996
4,2021-07-29T00:45:00Z,12,norwood,1.55,3.348,2021-07-29,norwood.mouth,bottom.do,1.45,1.65,minidot.do,44.384152,-123.236857,3.348,13.035,215432,2021-07-29,0:46,night,1,-0.1639999999999997,0.050000000000000044,1.475,0.1639999999999997,-3.279999999999991,FALSE,0.07499999999999996
11,2021-07-29T00:45:00Z,14.661,blue.ruin,0.77575085668212,3.0039335911015,2021-07-29,site.4.netpen,mid.temp,0.5,1.7,hobo.onset.temp,44.2301936,-123.1624209,NA,17.701,20659256,2021-07-29,NA,NA,NA,-4.961,0.44999999999999996,0.725,4.961,-11.024444444444446,TRUE,0.05075085668211998
14,2021-07-29T00:45:00Z,14.253,norwood,0.984662045060659,2.97960745233969,2021-07-29,norwood.mouth,mid.do,0.85,1.65,hobo.onset.do,44.384152,-123.236857,2.873,14.771,931632,2021-07-29,0:46,night,1,-0.577,0.15000000000000002,0.925,0.577,-3.846666666666666,TRUE,0.059662045060658975
15,2021-07-29T00:45:00Z,12.897,blue.ruin,0.935758919572667,2.48608931483755,2021-07-29,site.4.netpen,mid.do,0.95,1.7,hobo.onset.do,44.2301936,-123.1624209,2.44,12.74,21063701,2021-07-29,NA,NA,NA,-0.4239999999999995,0.15000000000000013,1.025,0.4239999999999995,-2.826666666666661,TRUE,0.08924108042733292
18,2021-07-29T00:45:00Z,13.305,norwood,1.34516824849008,3.26500819672131,2021-07-29,norwood.mouth,mid.low.temp,1,1.65,hobo.onset.temp,44.384152,-123.236857,NA,14.194,20659263,2021-07-29,0:45,night,1,-1.1590000000000007,0.44999999999999996,1.225,1.1590000000000007,-2.575555555555557,TRUE,0.1201682484900799
22,2021-07-29T00:45:00Z,14.236,blue.ruin,0.81430155210643,2.87916952227374,2021-07-29,site.4.netpen,mid.temp,0.5,1.7,hobo.onset.temp,44.2301936,-123.1624209,NA,17.701,20659256,2021-07-29,NA,NA,NA,-4.961,0.44999999999999996,0.725,4.961,-11.024444444444446,TRUE,0.08930155210642998
31,2021-07-29T00:45:00Z,15.05,blue.ruin,0.740465631929047,3.11812940939327,2021-07-29,site.4.netpen,mid.temp,0.5,1.7,hobo.onset.temp,44.2301936,-123.1624209,NA,17.701,20659256,2021-07-29,NA,NA,NA,-4.961,0.44999999999999996,0.725,4.961,-11.024444444444446,TRUE,0.015465631929047041
6,2021-07-29T00:50:00Z,14.938,norwood,0.824714492520508,3.08717725591121,2021-07-29,norwood.mouth,mid.do,0.85,1.65,hobo.onset.do,44.384152,-123.236857,2.839,14.676,931632,2021-07-29,0:51,night,1,-0.5779999999999994,0.15000000000000002,0.925,0.5779999999999994,-3.8533333333333286,TRUE,0.10028550747949205
