ibutton,date.time,ibutton.temp,site,fish_depth,dissolved.oxygen,date
31,2021-07-29T01:45:00Z,14.862,blue.ruin,0.749771499792273,2.90870529138498,2021-07-29
6,2021-07-29T01:50:00Z,14,norwood,0.98141592920354,2.55695575221239,2021-07-29
7,2021-07-29T01:50:00Z,13.83,blue.ruin,0.84519513218632,2.79109220615725,2021-07-29
10,2021-07-29T01:50:00Z,12.477,blue.ruin,1.02641509433962,2.52851650943396,2021-07-29
13,2021-07-29T01:50:00Z,15.982,norwood,0.728750815394651,3.74972763100674,2021-07-29
21,2021-07-29T01:50:00Z,15.589,blue.ruin,0.679112463281578,3.33161580131996,2021-07-29
5,2021-07-29T01:55:00Z,14.312,blue.ruin,0.80022231632437,2.79134121224953,2021-07-29
8,2021-07-29T01:55:00Z,16.346,blue.ruin,0.60642600042346,3.20712239909149,2021-07-29
15,2021-07-29T01:55:00Z,12.772,blue.ruin,0.946951090408639,2.47654129694147,2021-07-29
16,2021-07-29T01:55:00Z,13.776,norwood,1.07315068493151,2.48953493150685,2021-07-29
17,2021-07-29T01:55:00Z,16.698,blue.ruin,0.572887994918484,3.27907666544762,2021-07-29
18,2021-07-29T01:55:00Z,13.995,norwood,0.989469178082192,2.50808433219178,2021-07-29
23,2021-07-29T01:55:00Z,14.626,blue.ruin,0.770304890959136,2.85552768848767,2021-07-29
30,2021-07-29T01:55:00Z,15.044,blue.ruin,0.730478509421978,2.94097337978558,2021-07-29
31,2021-07-29T01:55:00Z,14.987,blue.ruin,0.73590937963159,2.92932169460859,2021-07-29
6,2021-07-29T02:00:00Z,14.375,norwood,0.864450867052023,2.43226589595376,2021-07-29
11,2021-07-29T02:00:00Z,15.099,blue.ruin,0.723140495867769,3.04220886551465,2021-07-29
13,2021-07-29T02:00:00Z,15.857,norwood,0.73410488831337,3.55605783964605,2021-07-29
14,2021-07-29T02:00:00Z,15.004,norwood,0.803140174813856,2.88768120751052,2021-07-29
21,2021-07-29T02:00:00Z,15.715,blue.ruin,0.66439923712651,3.19814020690054,2021-07-29
22,2021-07-29T02:00:00Z,14.361,blue.ruin,0.793515575333757,2.85539501820494,2021-07-29
5,2021-07-29T02:05:00Z,14.125,blue.ruin,0.811356466876972,2.78022368798394,2021-07-29
7,2021-07-29T02:05:00Z,14.205,blue.ruin,0.80378548895899,2.79825638084313,2021-07-29
8,2021-07-29T02:05:00Z,16.221,blue.ruin,0.612996845425867,3.25268024089475,2021-07-29
10,2021-07-29T02:05:00Z,12.477,blue.ruin,1.01224489795918,2.50959948979592,2021-07-29
15,2021-07-29T02:05:00Z,13.085,blue.ruin,0.909779179810725,2.54579868081445,2021-07-29
16,2021-07-29T02:05:00Z,13.776,norwood,1.05587392550143,2.33993194842407,2021-07-29
17,2021-07-29T02:05:00Z,16.698,blue.ruin,0.567854889589905,3.36020017206768,2021-07-29
