date.time,tag.id,receiver.site,antenna.number,temp.sd,temp.strong,lat,long,strength,gap,temp.diff,mainstem.temp,foray
8/4/2021 20:10,11,1,1,0.461880215,10,44.2333796,-123.1625399,92,10,-1.6,21.151,0
8/5/2021 9:40,11,1,1,NA,14,44.2333796,-123.1625399,77,210,4,18.985,1
8/5/2021 10:00,11,1,1,NA,14,44.2333796,-123.1625399,86,20,0,19.08,0
8/5/2021 18:50,11,1,1,NA,14,44.2333796,-123.1625399,76,440,0,18.794,0
8/5/2021 20:20,11,1,1,NA,13.2,44.2333796,-123.1625399,76,90,-0.8,18.01,0
8/5/2021 20:30,11,1,1,0.565685425,13.2,44.2333796,-123.1625399,78,10,0,18.01,0
8/6/2021 0:10,11,1,1,NA,13.2,44.2333796,-123.1625399,79,120,0,17.867,0
8/6/2021 1:30,11,1,1,NA,12.4,44.2333796,-123.1625399,75,80,-0.8,17.701,0
8/6/2021 1:50,11,1,1,NA,13.2,44.2333796,-123.1625399,81,20,0.8,17.701,0
8/6/2021 3:20,11,1,1,NA,14.8,44.2333796,-123.1625399,84,60,1.6,17.605,1
8/6/2021 3:40,11,1,1,NA,14,44.2333796,-123.1625399,82,20,-0.8,17.534,0
8/6/2021 6:10,11,1,1,NA,14,44.2333796,-123.1625399,83,130,0,17.486,0
8/6/2021 8:30,11,1,1,0,12.4,44.2333796,-123.1625399,85,140,-1.6,17.915,0
8/6/2021 9:00,11,1,1,NA,11.6,44.2333796,-123.1625399,75,30,-0.8,17.962,0
8/6/2021 11:10,11,1,1,0.461880215,15.6,44.2333796,-123.1625399,92,130,4,18.604,1
8/6/2021 11:20,11,1,1,NA,13.2,44.2333796,-123.1625399,77,10,-2.4,18.628,0
8/6/2021 21:20,11,1,1,1.13137085,14.8,44.2333796,-123.1625399,77,500,1.6,19.532,1
8/6/2021 21:40,11,1,1,1.13137085,14.8,44.2333796,-123.1625399,76,20,0,19.603,0
8/7/2021 1:50,11,1,1,NA,14.8,44.2333796,-123.1625399,76,100,0,19.484,0
8/7/2021 2:10,11,1,1,NA,14.8,44.2333796,-123.1625399,75,20,0,19.436,0
8/7/2021 5:40,11,1,1,NA,12.4,44.2333796,-123.1625399,74,60,-2.4,19.008,0
8/7/2021 8:10,11,1,1,NA,14,44.2333796,-123.1625399,80,150,1.6,18.818,1
