date.time,tag.id,receiver.site,antenna.number,temp.sd,temp.strong,lat,long,strength,logger.site,fish.depth,fish.do
7/30/2021 5:10,11,1,2,0.461880215,14.8,44.2333796,-123.1625399,96,site.1,0.3,5.984
7/30/2021 5:30,11,4,1,NA,21.2,44.2303277,-123.1622552,108,site.4.netpen,0,7.17
7/30/2021 6:30,11,1,1,NA,13.2,44.2333796,-123.1625399,71,site.0.mouth,mouth.mixed,NA
7/30/2021 7:20,11,1,1,NA,13.2,44.2333796,-123.1625399,77,site.0.mouth,mouth.mixed,NA
7/30/2021 7:50,11,1,1,NA,13.2,44.2333796,-123.1625399,86,site.0.mouth,mouth.mixed,NA
7/30/2021 8:30,11,4,1,NA,11.6,44.2303277,-123.1622552,44,site.4.netpen,1.55,3.07
7/30/2021 8:40,11,4,1,NA,22.8,44.2303277,-123.1622552,110,site.4.netpen,0,6.49
7/30/2021 9:10,11,1,1,NA,12.4,44.2333796,-123.1625399,85,site.0.mouth,mouth.mixed,NA
7/30/2021 10:30,11,1,1,0,10.8,44.2333796,-123.1625399,89,site.0.mouth,mouth.mixed,NA
7/30/2021 10:40,11,1,2,0,10,44.2333796,-123.1625399,95,site.1,2.5,4.84
7/30/2021 10:50,11,1,2,0.359182207,10,44.2333796,-123.1625399,110,site.1,2.5,4.402
7/30/2021 11:00,11,1,2,0,11.6,44.2333796,-123.1625399,92,site.1,2.5,4.797
7/30/2021 15:30,11,1,1,0,10,44.2333796,-123.1625399,86,site.0.mouth,mouth.mixed,NA
7/30/2021 15:40,11,1,1,0.241209076,10.8,44.2333796,-123.1625399,93,site.0.mouth,mouth.mixed,NA
7/30/2021 15:50,11,1,1,0,10,44.2333796,-123.1625399,103,site.0.mouth,mouth.mixed,NA
7/30/2021 16:00,11,1,1,0.230940108,10,44.2333796,-123.1625399,106,site.0.mouth,mouth.mixed,NA
7/30/2021 16:10,11,1,1,2.8,10,44.2333796,-123.1625399,105,site.0.mouth,mouth.mixed,NA
7/30/2021 16:20,11,4,1,2.453092403,15.6,44.2303277,-123.1622552,134,site.4.netpen,0.763636364,6.022792208
7/30/2021 16:30,11,1,2,0,10,44.2333796,-123.1625399,105,site.1,2.5,6.042
7/30/2021 19:50,11,1,1,NA,14,44.2333796,-123.1625399,78,site.0.mouth,mouth.mixed,NA
7/30/2021 20:40,11,1,1,NA,12.4,44.2333796,-123.1625399,46,site.0.mouth,mouth.mixed,NA
7/30/2021 21:10,11,1,1,0.352766841,13.2,44.2333796,-123.1625399,83,site.0.mouth,mouth.mixed,NA
7/30/2021 21:20,11,1,1,0.565685425,12.4,44.2333796,-123.1625399,79,site.0.mouth,mouth.mixed,NA
7/30/2021 21:30,11,1,1,NA,12.4,44.2333796,-123.1625399,74,site.0.mouth,mouth.mixed,NA
7/30/2021 22:30,11,3,1,3.375203698,19.6,44.23065,-123.16275,78,site.3,0.162357581,6.41
7/30/2021 22:40,11,1,1,2.146625258,10,44.2333796,-123.1625399,86,site.0.mouth,mouth.mixed,NA
7/30/2021 22:50,11,1,1,1.511857892,10,44.2333796,-123.1625399,88,site.0.mouth,mouth.mixed,NA
7/30/2021 23:00,11,4,1,2.475018037,19.6,44.2303277,-123.1622552,131,site.4.netpen,0.093470483,6.58
